100-06-1	CC(=O)C1=CC=C(C=C1)OC
100-09-4	COC1=CC=C(C=C1)C(=O)O
100-21-0	C1=CC(=CC=C1C(=O)O)C(=O)O
100-51-6	C1=CC=C(C=C1)CO
100-52-7	C1=CC=C(C=C1)C=O
100-54-9	C1=CC(=CN=C1)C#N
100-83-4	C1=CC(=CC(=C1)O)C=O
1000026-77-6	C[N+]1(CCC23CC(=O)C(=CC2C1CC4=C3C(=C(C=C4)OC)O)OC)[O-]
100079-34-3	COC1=CC=CC=C1C2CC(=O)C3=C(C=C(C(=C3O2)OC)O)OC
100079-39-8	COC1=CC=CC=C1C=CC(=O)C2=C(C=C(C(=C2O)OC)O)OC
1000995-47-0	CC1=CC(=O)OCC2(C3CC3C4(C2CC5=C(COC(=O)CCC(=O)OC1)C(=O)OC56C4CC7(C8CC8C9(C7=C6C1=C(C(=O)OC1(C9O)O)C)C)O)C)O
1000995-48-1	CC1=CCOC(=O)CCC(=O)OCC2=C3CC4C(C5CC5C4(COC1=O)O)(C6C3(C7=C8C(C9CC9C8(C6)O)(C(C1(C7=C(C(=O)O1)C)O)O)C)OC2=O)C
1000995-49-2	CC=C(C)C(=O)OCC1(C2CC2C3(C1CC4=C(C(=O)OC45C3CC6(C7CC7C8(C6=C5C9=C(C(=O)OC9(C8O)O)C)C)O)CO)C)O
1001424-68-5	CC(=CCC1=CC2=C(C(=C1O)O)OC3=C(C=CC(=C3C2=O)O)O)C
10016-20-3	C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(O2)C(C7O)O)CO)CO)CO)CO)CO)O)O)O
100198-09-2	CC(CC(C(C(C)(C)O)O)O)C1CCC2(C1(CCC3C2=CCC4C3(CCC(=O)C4(C)C)C)C)C
1002-57-9	C(CCCC(=O)O)CCCN
1002-84-2	CCCCCCCCCCCCCCC(=O)O
100201-57-8	C1=CC(=CC=C1C(C(C(=O)O)O)O)O
100234-59-1	COC1=CN=C(C2=C1C3=C(N2)C(=CC=C3)O)C=C
